QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
040f2a84,PSDA,Percentages,,BB8 UPPER,"The regular price of a shirt at a store is . The sale price of the shirt is less than the regular price, and the sale price is greater than the store's cost for the shirt. What was the storeÃ¢â‚¬â„¢s cost, in dollars, for the shirt? (Disregard the sign when entering your answer. For example, if your answer is , enter )"
042aa429,ALGEBRA,Linear Functions,903D Medium,,"If and , what is the value of ?"
044c1cb7,ADV_MATH,Nonlinear Functions,,,Which table gives three values of and their corresponding values of for the given function ?
048811bd,PSDA,Percentages,,,What isÃ‚ of ?
04b985e6,ADV_MATH,Nonlinear Functions,,,"The kinetic energy, in joules, of an object with mass kilograms traveling at a speed of meters per second is given by the function , whereÃ‚ . Which of the following is the best interpretation ofÃ‚ in this context?"
04bbce67,ADV_MATH,Nonlinear Functions,902D Medium,,The function is defined by the given equation. For what value of doesÃ‚ reach its minimum?
0536ad4f,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
05bb1af9,ALGEBRA,Linear Equations 2 Variables,,,The graph of is shown. Which equation defines function ?
062f86db,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the positive solution to the given equation?
06a152cd,PSDA,Rates & Proportions,,,"To make a bakeryÃ¢â‚¬â„¢s signature chocolate muffins, a baker needs 2.5Ã‚ ounces of chocolate for each muffin. How many pounds of chocolate are needed to make 48Ã‚ signature chocolate muffins? (1 pound = 16 ounces)"
06fc1726,ALGEBRA,Linear Functions,,,"If f is the function defined by , what is the value of ?"
0700a2d5,PSDA,Rates & Proportions,,,How many yards are equivalent to rods?
07bcecac,ADV_MATH,Nonlinear Functions,,,"The function gives the predicted population, in millions, of a certain country for the period from to , where is the number of years after . According to the model, what is the best interpretation of the statement Ã¢â‚¬Å“ is approximately equal to Ã¢â‚¬Â?"
07f2829b,PSDA,Data 1 Variable,,,"International Tourist Arrivals, in millions Country 2012 2013 France 83.0 84.7 United States 66.7 69.8 Spain 57.5 60.7 China 57.7 55.7 Italy 46.4 47.7 Turkey 35.7 37.8 Germany 30.4 31.5 United Kingdom 26.3 32.2 Russia 24.7 28.4 The table above shows the number of international tourist arrivals, rounded to the nearest tenth of a million, to the top nine tourist destinations in both 2012 and 2013. Based on the information given in the table, how much greater, in millions, was the median number of international tourist arrivals to the top nine tourist destinations in 2013 than the median number in 2012, to the nearest tenth of a million?"
0815a5af,GEOM_TRIG,Circles,,BB8 LOWER,"The circle shown has center , circumferenceÃ‚ , and diameters and . The length of arc is twice the length of arc . What is the length of arc ?"
0837c3b9,GEOM_TRIG,Area & Volume,,,"Triangle ABC and triangle DEF are similar triangles, where and are corresponding sides. If and the perimeter of triangle ABC is 20, what is the perimeter of triangle DEF ?"
087cdcfd,GEOM_TRIG,"Lines, Angles, Triangles",902D Medium,,"In the figure, three lines intersect at point P. If and , what is the value of z ?"
08b7a3f5,GEOM_TRIG,Area & Volume,901D Medium,,"A triangular prism has a height of and a volume ofÃ‚ . What is the area, , of the base of the prism? (The volume of a triangular prism is equal to , where is the area of the base and is the height of the prism.)"
08d03fe4,ADV_MATH,Nonlinear Functions,903D Medium,,"For the exponential function , the value ofÃ‚ is , where is a constant. Which of the following equivalent forms of the function shows the value of as the coefficient or the base?"
092ad67d,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
097e10f5,ALGEBRA,Linear Equations 1 Variable,,,What value of satisfies the equation ?
0980fcdd,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",1000D Medium,,A solution to the given system of equations is . Which of the following is a possible valueÃ‚ ofÃ‚ xyÃ‚ ?
099526fc,GEOM_TRIG,Area & Volume,,,"The line segment shown in the xy-plane represents one of the legs of a right triangle. The area of this triangle is square units. What is the length, in units, of the other leg of this triangle?"
09d21d79,ADV_MATH,Nonlinear Functions,,BB5 UPPER,"The graph of is shown, where and are constants. What is the value of ?"
09f58996,ADV_MATH,Nonlinear Functions,901D Lower,,The function is defined by . What is the value of ?
0a99e5bb,PSDA,Probability,,,", , A data set of three numbers is shown. If a number from this data set is selected at random, what is the probability of selecting a negative number?"
0aaef7aa,ADV_MATH,Nonlinear Functions,,,The function is defined by . What is the value of when is equal to ?
0acfddb5,GEOM_TRIG,Circles,,BB6 UPPER,"A circle has center , and points and lie on the circle. Line segments andÃ‚ are tangent to the circle at points and , respectively. If the radius of the circle is millimeters and the perimeter of quadrilateral is millimeters, what is the distance, in millimeters, between points and ?"
0adbe034,ALGEBRA,Linear Equations 1 Variable,,BB5 MEDIUM,"If , what is the value of ?"
0ae37ff3,PSDA,Probability,,,"In a bag, there are red, white, blue, and yellow cubes. If one of these cubes is selected at random, what is the probability of selecting a cube that is neitherÃ‚ blueÃ‚ norÃ‚ yellow?"
0b221d05,ALGEBRA,Linear Inequalities,,BB9 LOWER,The shaded region shown represents the solutions to an inequality. Which ordered pair is a solution to this inequality?
0b332f00,ALGEBRA,Linear Functions,,BB9 LOWER,The function is defined by . For what value of is ?
0b3d25c5,ADV_MATH,Equivalent Expressions,903D Medium,,"Which of the following is equivalent to , where ?"
0b46bad5,ALGEBRA,Linear Equations 2 Variables,,,"In the equation above, a and b are constants and . Which of the following could represent the graph of the equation in the xy-plane?"
0bb39de4,GEOM_TRIG,"Lines, Angles, Triangles",,BB10 UPPER,"Triangles and are congruent, where corresponds to , and and are right angles. The measure of angle is . What is the measure of angle ?"
0bebc08c,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,A solution to the given system of equations isÃ‚ . What is the value of ?
0c541d87,ALGEBRA,Systems of Linear Equations,,BB5 UPPER,"Two customers purchased the same kind of bread and eggs at a store. The first customer paid dollars for loaf of bread and dozen eggs. The second customer paid dollars for loaves of bread and dozen eggs. What is the cost, in dollars, of dozen eggs?"
0cadb20e,ALGEBRA,Linear Functions,,,"The function is defined by , and , where is a constant. What is the value of ?"
0cb57740,ALGEBRA,Linear Equations 1 Variable,903D Medium,,Each side of a -sided polygon has one of three lengths. The number of sides with length is times the number of sides with length . There are sides with length . Which equation must be true for the value of ?
0d1dca87,ALGEBRA,Systems of Linear Equations,,,"If is the solution to the given system of equations, what is the value of y ?"
0d391910,ALGEBRA,Linear Functions,,BB10 LOWER,The function is defined by . For what value of does ?
0d3f51dc,GEOM_TRIG,"Lines, Angles, Triangles",,BB10 LOWER,"In the figure, line is parallel to line , and line intersects both lines. What is the value of ?"
0d43db90,GEOM_TRIG,Area & Volume,,,"The perimeter of triangle is inches, the length of side is inches, and the length of side is inches. What is the length, in inches, of side ?"
0d685865,ALGEBRA,Linear Equations 1 Variable,,,"If , what is the value of ?"
0d6ab461,ALGEBRA,Linear Functions,,,"Gabriella deposits in a savings account at the end of each week. At the beginning of the week of a year there was in that savings account. How much money, in dollars, will be in the account at the end of the week of that year?"
0dd6227f,ALGEBRA,Systems of Linear Equations,,,At how many points do the graphs of the equations and intersect in the xy-plane?
0df106df,ALGEBRA,Systems of Linear Equations,,,"An online bookstore sells novels and magazines. Each novel sells for $4, and each magazine sells for $1. If Sadie purchased a total of 11Ã‚ novels and magazines that have a combined selling price of $20, how many novels did she purchase?"
0e61101e,ADV_MATH,Nonlinear Functions,,BB9 MEDIUM,"The function is defined by the given equation. If , which of the following equations defines the function ?"
0e709a29,GEOM_TRIG,Right Angle Trigonometry,,,"The side lengths of right triangle are given. Triangle Ã‚ Ã‚ is similar to triangle , where corresponds to and corresponds to . What is the value of ?"
0ea56bb2,PSDA,Percentages,,,"Year Subscriptions sold 2012 5,600 2013 5,880 The manager of an online news service received the report above on the number of subscriptions sold by the service. The manager estimated that the percent increase from 2012 to 2013 would be double the percent increase from 2013 to 2014. How many subscriptions did the manager expect would be sold in 2014?"
0ea7ef01,ALGEBRA,Linear Functions,,,"Oxygen gas is placed inside a tank with a constant volume. The graph shows the estimated temperature , in kelvins, of the oxygen gas when its pressure is atmospheres. What is the estimated temperature, in kelvins, of the oxygen gas when its pressure is atmospheres?"
0eae6be1,ALGEBRA,Linear Functions,,,The number is less than the number . Which equation represents the relationship between and ?
100030d9,ADV_MATH,Nonlinear Functions,901D Medium,,"A rubber ball bounces upward one-half the height that it falls each time it hits the ground. If the ball was originally dropped from a distance of 20.0 feet above the ground, what was its maximum height above the ground, in feet, between the third and fourth time it hit the ground?"
1006cad7,ALGEBRA,Systems of Linear Equations,,BB6 LOWER,The graph of a system of linear equations is shown. What is the solution to the system?
1035faea,ALGEBRA,Linear Inequalities,901D Upper,,"A psychologist set up an experiment to study the tendency of a person to select the first item when presented with a series of items. In the experiment, 300Ã‚ people were presented with a set of fiveÃ‚ pictures arranged in random order. Each person was asked to choose the most appealing picture. Of the first 150Ã‚ participants, 36Ã‚ chose the first picture in the set. Among the remaining 150Ã‚ participants, p people chose the first picture in the set. If more than 20% of all participants chose the first picture in the set, which of the following inequalities best describes the possible values of p ?"
104bff62,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB10 MEDIUM,"In the given equation, is a positive constant. Which of the following is one of the solutions to the given equation?"
1073d70c,ADV_MATH,Nonlinear Functions,,,"At the time that an article was first featured on the home page of a news website, there were comments on the article. An exponential model estimates that at the end of each hour after the article was first featured on the home page, the number of comments on the article had increased by of the number of comments on the article at the end of the previous hour. Which of the following equations best represents this model, where is the estimated number of comments on the article hours after the article was first featured on the home page and ?"
10c448d6,ALGEBRA,Linear Equations 2 Variables,,BB10 LOWER,A line in theÃ‚ xy-plane has a slope ofÃ‚ and passes through the pointÃ‚ . Which equation represents this line?
113b938e,ALGEBRA,Linear Functions,,,"The equation above represents the speed y, in feet per second, of SheilaÃ¢â‚¬â„¢s bicycle x seconds after she applied the brakes at the end of a ride. If the equation is graphed in the xy-plane, which of the following is the best interpretation of the x-coordinate of the lineÃ¢â‚¬â„¢s x-intercept in the context of the problem?"
1142af44,PSDA,Data 1 Variable,,,"Value Frequency 1 a 2 2a 3 3a 4 2a 5 a The frequency distribution above summarizes a set of data, where a is a positive integer. How much greater is the mean of the set of data than the median?"
1178f2df,ADV_MATH,Nonlinear Functions,1000D Medium,,"The table shows three values of and their corresponding values of , whereÃ‚ and is a quadratic function. What is the y-coordinate of the y-intercept of the graph ofÃ‚ in the xy-plane?"
1180401d,PSDA,Rates & Proportions,,,"The total area of a coastal city is 92.1Ã‚ square miles, of which 11.3Ã‚ square miles is water. If the city had a population of 621,000Ã‚ people in the year 2010, which of the following is closest to the population density, in people per square mile of land area, of the city at thatÃ‚ time?"
11ccf3e1,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The given equation relates the numbers , , and . Which equation correctly expresses in terms of and ?"
11e1ab81,ALGEBRA,Linear Functions,,,"The graph above shows the distance traveled d, inÃ‚Â feet, by a product on a conveyor belt mÃ‚Â minutes after the product is placed on the belt. Which of the following equations correctly relates d and m ?"
121dc44f,PSDA,Percentages,,,"The population of City A increased by from to . If the population is times the population, what is the value of ?"
12255364,ALGEBRA,Linear Equations 1 Variable,902D Lower,,"A gym charges its members a onetime enrollment fee and a membership fee of per month. If there are no charges other than the enrollment fee and the membership fee, after how many months will a member have been charged a total of at the gym?"
127b2759,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent toÃ‚ ?
12983c1e,ALGEBRA,Linear Functions,,,Some values of the linear function f are shown in the table above. Which of the following defines f ?
12ae3452,ALGEBRA,Linear Equations 2 Variables,,,"The equation gives the relationship between the side lengths and of a certain parallelogram. If , what is the value of ?"
12dae628,PSDA,Data 1 Variable,,,", , , , What is the mean of the data shown?"
12dbe3de,PSDA,Probability,901D Lower,,"A store received a shipment of 1,000Ã‚ MP3 players, 4Ã‚ of which were defective. If an MP3 player is randomly selected from this shipment, what is the probability that it is defective?"
12e7faf8,ADV_MATH,Equivalent Expressions,,,"The equation is true for all , where a and d are integers. What is the value of ?"
12ee1edc,ALGEBRA,Linear Equations 1 Variable,,,"In the given equation, b is a constant. If the equation has no solution, what is the value of b ?"
13294295,ALGEBRA,Linear Functions,,,"The graph shown models the number of candy bars a certain machine wraps with a label in seconds. According to the graph, what is the estimated number of candy bars the machine wraps with a label per second?"
1353b86e,PSDA,Probability,902D Lower,,"Colors of Marbles in a Bag Color Number Red 8 Blue 10 Green 22 Total 40 The table shows the number of different colors of marbles in a bag. If a marble is chosen at random from the bag, what is the probability that the marble will be blue?"
1362ccde,ALGEBRA,Systems of Linear Equations,,BB9 MEDIUM,The solution to the given system of equations is . What is the value of ?
137cc6fd,ADV_MATH,Equivalent Expressions,,,"For what value of is the given expression equivalent to , where ?"
13909d78,ALGEBRA,Linear Functions,902D Lower,,The function is defined by the equation . What is the value of when ?
13d9a1c3,GEOM_TRIG,Right Angle Trigonometry,1000D Medium,,"In the right triangle shown above, what is the length ofÃ‚ Ã‚ ?"
13e57f0a,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the positive solution to the given equation?
13f67ddc,PSDA,Data 2 Variable,,,"100 90 80 70 60 50 40 30 20 10 0 Probability of snow (%) Tuesday Wednesday Thursday Friday Day of the week The line graph shows the probability of snow, as a percent, at a certain location for each day during a four-day period. According to the line graph, for which day during this four-day period is the probability of snow ?"
1429dcdf,GEOM_TRIG,Right Angle Trigonometry,,,"In the triangle shown, what is the value of ?"
14360f84,ALGEBRA,Systems of Linear Equations,,BB10 MEDIUM,"In the given system of equations, is a constant. If the system has no solution, what is the value of ?"
151eda3c,GEOM_TRIG,Area & Volume,,,"A manufacturing company produces two sizes of cylindrical containers that each have a height of 50 centimeters. The radius of container A is 16 centimeters, and the radius of container B is 25% longer than the radius of container"
153ee763,ALGEBRA,Linear Equations 1 Variable,,,"In the given equation, is a constant. The equation has no solution. What is the value of ?"
15617f62,PSDA,Rates & Proportions,,,"The population density of Worthington is people per square mile. Worthington has a population of people. What is the area, in square miles, of Worthington?"
158591f0,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB8 UPPER,What is the sum of the solutions to the given equation?
15c364bf,ADV_MATH,Nonlinear Functions,,,"A sample of a certain isotope takes years to decay to half its original mass. The function gives the approximate mass of this isotope, in grams, that remains years after a -gram sample starts to decay. Which statement is the best interpretation of in this context?"
15ce8207,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . Which of the following graphs shows the most appropriate model for the data?"
15daa8d6,ALGEBRA,Linear Equations 1 Variable,,,"In the given equation, is a constant. If the equation has infinitely many solutions, what is the value of ?"
161126cf,ADV_MATH,Nonlinear Functions,,BB5 UPPER,"The function is defined by the given equation. The equation can be rewritten as , where is a constant. Which of the following is closest to the value of ?"
165c30c4,GEOM_TRIG,Area & Volume,903D Lower,,"A rectangle has a length of inches and a width of inches. What is the area, in square inches, of the rectangle?"
16889ef3,ALGEBRA,Linear Functions,1000D Upper,,"Oil and gas production in a certain area dropped from 4Ã‚Â millionÃ‚Â barrels in 2000 to 1.9Ã‚Â millionÃ‚Â barrels in 2013. Assuming that the oil and gas production decreased at a constant rate, which of the following linear functions f best models the production, in millions of barrels, t years after the year 2000?"
1697ffcf,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",1000D Upper,,"In the xy-plane, the graph of intersects the graph of at the points and . What is the value of a ?"
16988f9c,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . Which equation is the most appropriate linear model for this relationship?"
16cea46c,PSDA,Probability,,,"Voice type Number of singers Countertenor 4 Tenor 6 Baritone 10 Bass 5 A total of 25 men registered for singing lessons. The frequency table shows how many of these singers have certain voice types. If one of these singers is selected at random, what is the probability he is a baritone?"
16de54c7,ADV_MATH,Equivalent Expressions,1000D Medium,,"If the given expression is rewritten in the form , where k is a constant, what is the value of kÃ‚ ?"
174885f8,ALGEBRA,Linear Equations 2 Variables,,BB10 LOWER,Jay walks at a speed of miles per hour and runs at a speed of miles per hour. He walks for hours and runs for hours for a combined total of miles. Which equation represents this situation?
17912810,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure, parallel lines and are intersected by lines and . If and , what is the value of ?"
17d0e87d,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The given equation relates the distinct positive real numbers , , and . Which equation correctly expresses in terms of and ?"
17f176ec,ALGEBRA,Systems of Linear Equations,,,"A movie theater charges $11 for each full-price ticket and $8.25 for each reduced- price ticket. For one movie showing, the theater sold a total of 214Ã‚ full-price and reduced-price tickets for $2,145. Which of the following systems of equations could be used to determine the number of full-price tickets, f, and the number of reduced-price tickets, r, sold?"
181cc4d6,PSDA,Rates & Proportions,,,Rectangle A has length 15 and width w. Rectangle B has length 20 and the same length-to-width ratio as rectangle
184ce5aa,ALGEBRA,Linear Equations 2 Variables,,,Line is defined by . Line is perpendicular to line in theÃ‚ xy-plane. What is the slope of line ?
1853bb35,ADV_MATH,Nonlinear Functions,,BB8 UPPER,"For the function , the value of decreases by for every increase in the value of by . If , which equation defines ?"
1863e3be,ADV_MATH,Nonlinear Functions,,,The -intercept of the graph of in the xy-plane is . What is the value of ?
18e35375,ADV_MATH,Nonlinear Functions,,,The function is defined by the given equation. For what value of does reach its minimum?
190be2fc,PSDA,Data 1 Variable,,,Data set A consists of positive integers less than . The list shown gives of the integers from data set
191d167b,PSDA,Percentages,,,"Last year, students enrolled in an interior design program. This year, the number of students enrolled is of last yearÃ¢â‚¬â„¢s number. How many students are enrolled in the interior design program this year?"
194ae3b1,PSDA,Percentages,,,"There were approximately 113,000Ã‚ occupational therapy jobs in the United States in 2012. The Bureau of Labor Statistics has projected that this number will increase by 29% from 2012 to 2022. Of the following, which is closest to the number of occupational therapy jobs the bureau has projected for the United States in 2022?"
196e8e6e,GEOM_TRIG,Circles,,BB5 UPPER,"In the xy-plane, a circle has center with coordinates . Points and lie on the circle. Point has coordinates , and is a right angle. What is the length ofÃ‚ ?"
197bed38,ADV_MATH,Nonlinear Functions,,,"An object was launched upward from a platform. The graph shown models the height above ground, , in meters, of the object seconds after it was launched. For which of the following intervals of time was the height of the object increasing for the entire interval?"
19fdf387,ALGEBRA,Systems of Linear Equations,,,"In the xy-plane, the graph of intersects the graph of at the point . What is the value of a ?"
1a621af4,ALGEBRA,Linear Inequalities,,,"A number is at most less than times the value of . If the value of is , what is the greatest possible value of ?"
1a722d7d,ADV_MATH,Nonlinear Functions,903D Upper,,"Let the functionÃ‚ p be defined as , whereÃ‚ c is a constant. If , what is the value of ?"
1adb39f0,PSDA,Data 2 Variable,902D Medium,,"The scatterplot shows the relationship between two variables, x and y. A line of best fit for the data is also shown. Which of the following is closest to the difference between the y-coordinate of the data point with and the y-value predicted by the line of best fit at ?"
1b1deebe,ALGEBRA,Systems of Linear Equations,,,"In the given system of equations, and are constants. The graphs of these equations in the xy-plane intersect at the pointÃ‚ . What is the value of ?"
1b403590,PSDA,Rates & Proportions,,,"An object has a mass of grams and a volume of cubic centimeters. What is the density, in grams per cubic centimeter, of the object?"
1b8e412e,PSDA,Probability,,BB7 LOWER,", , A data set of three numbers is shown. If a number from this data set is selected at random, what is the probability of selecting a positive number?"
1baffbcf,PSDA,Percentages,,,The expression Ã‚ represents the result of decreasing a positive quantity by what percent?
1bc11c4e,ALGEBRA,Linear Functions,,,"The given function models the number of gallons of gasoline that remains from a full gas tank in a car after driving miles. According to the model, about how many gallons of gasoline are used to drive each mile?"
1bf809b5,GEOM_TRIG,Right Angle Trigonometry,,BB6 MEDIUM,"In the triangle shown, what is the value of ?"
1c29bfd1,ALGEBRA,Linear Functions,,,"The pressure exerted on a scuba diver at sea level is . For each foot the scuba diver descends below sea level, the pressure exerted on the scuba diver increases by . What is the total pressure, in , exerted on the scuba diver at feet below sea level?"
1c2f50a6,PSDA,Percentages,901D Lower,,"During a sale, the original prices of all the items in a clothing store have been reduced by 20%. What is the sale price of a jacket with an original price of $50Ã‚ ?"
1c3d613c,GEOM_TRIG,"Lines, Angles, Triangles",,,"Triangle ABC and triangle DEF are shown. The relationship between the side lengths of the two triangles is such that . If the measure of angle BAC is 20Ã‚Â°, what is the measure, in degrees, of angle EDF ? (Disregard the degree symbol when gridding your answer.)"
1ce9ffcd,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",903D Upper,BB8 UPPER,"In the given equation, is a constant. The equation has exactly one solution. What is the value of ?"
1d18794b,ALGEBRA,Linear Functions,,,"A contract for a certain service requires a onetime activation cost ofÃ‚Â  and a monthly cost of . Which equation represents this situation, where is the total cost, in dollars, of this service contract for months?"
1d3fee25,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to ?
1dcea480,PSDA,Probability,,,"A bag contains a total of 60 marbles. A marble is to be chosen at random from the bag. If the probability that a blue marble will be chosen is 0.35, how many marbles in the bag are blue?"
1dd13816,ADV_MATH,Equivalent Expressions,,,"The given expression is equivalent to , where is a constant. What is the value of ?"
1e003284,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,The graphs of the given equations intersect at the pointÃ‚ in the xy-plane.Ã‚ What is the value of ?
1e1027a7,PSDA,Data 2 Variable,,,"The scatterplot above shows a companyÃ¢â‚¬â„¢s ice cream sales d, in dollars, and the high temperature t, in degrees Celsius (Ã‚Â°C), on 12 different days. A line of best fit for the data is also shown. Which of the following could be an equation of the line of best fit?"
1e11190a,ALGEBRA,Systems of Linear Equations,,,Store A sells raspberries for Ã‚ per pint and blackberries for per pint. Store B sells raspberries for per pint and blackberries for per pint. A certain purchase of raspberries and blackberries would cost at Store A or at Store B. How many pints of blackberries are in this purchase?
1e562f24,PSDA,Sample Size & ME,,,"To estimate the proportion of a population that has a certain characteristic, a random sample was selected from the population. Based on the sample, it is estimated that the proportion of the population that has the characteristic is , with an associated margin of error of . Based on this estimate and margin of error, which of the following is the most appropriate conclusion about the proportion of the population that has the characteristic?"
1e8ccffd,PSDA,Data 1 Variable,,,"The mean score of 8 players in a basketball game was 14.5 points. If the highest individual score is removed, the mean score of the remaining 7 players becomes 12 points. What was the highest score?"
1e8d7183,ADV_MATH,Equivalent Expressions,902D Upper,,Which expression is equivalent to ?
1ea09200,PSDA,Evaluation,,,"A sample of 40 fourth-grade students was selected at random from a certain school. The 40 students completed a survey about the morning announcements, and 32 thought the announcements were helpful. Which of the following is the largest population to which the results of the survey can be applied?"
1ecaa9c0,ALGEBRA,Linear Functions,,,"Robert rented a truck to transport materials he purchased from a hardware store. He was charged an initial fee of $20.00 plus an additional $0.70 per mile driven. If the truck was driven 38Ã‚Â miles, what was the total amount Robert was charged?"
1ee962ec,ADV_MATH,Nonlinear Functions,,,"Scientists recorded data about the ocean water levels at a certain location over a period of hours. The graph shown models the data, where represents sea level. Which table gives values of and their corresponding values of based on the model?"
1efd8202,ALGEBRA,Linear Equations 2 Variables,,,Which table gives three values of and their corresponding values of for the given equation?
1f0966db,ALGEBRA,Linear Functions,,BB6 UPPER,The function is defined byÃ‚Â . For what value of doesÃ‚Â ?
1f0b582e,GEOM_TRIG,Area & Volume,,,"Square X has a side length of centimeters. The perimeter of square Y is times the perimeter of square X. What is the length, in centimeters, of one side of square Y?"
1f353a9e,ADV_MATH,Nonlinear Functions,,BB9 MEDIUM,"The given function models the number of coupons a company sent to their customers at the end of each year, where represents the number of years since the end of , and . If is graphed in the ty-plane, which of the following is the best interpretation of the y-intercept of the graph in this context?"
1fbd3b67,PSDA,Percentages,,,The number is greater than the number . The number is less than . What is the value of ?
1fc4f47b,PSDA,Probability,,BB6 LOWER,"At a movie theater, there are a total of customers. Each customer is located in either theater A, theater B, or theater C. If one of these customers is selected at random, the probability of selecting a customer who is located in theater A is , and the probability of selecting a customer who is located in theater B is . How many customers are located in theater C?"
1fe10d97,ADV_MATH,Nonlinear Functions,902D Upper,,The given function models the population of LowellÃ‚ years after a census. Which of the following functions best models the population of LowellÃ‚ months after the census?
