QUESTION_ID,TOPIC,SUBTOPIC,mock_appearance,bluebook_appearance,QUESTION_PROMPT
01c1d9ee,INFO_IDEAS,Command of Evidence,1000D Medium,,"Swahili Speakers in Three African Countries Country Approximate number of speakers (in millions) Estimated % of population Democratic Republic of the Congo 22 25 Kenya 55 100 Tanzania 61 100 Swahili is estimated to be the first language of up to 15 million people worldwide. ItÃ¢â‚¬â„¢s also an officially recognized language in Tanzania, Kenya, and the Democratic Republic of the Congo, which means these countries use Swahili in government documents and proceedings. But even in countries where almost everyone speaks Swahili, for many it isnÃ¢â‚¬â„¢t their first language but is instead their second, third, or even fourth language. Which choice most effectively uses data from the table to support the underlined claim?"
01c8c433,EXPRESSIONS,Transitions,,,"Before the 1847 introduction of the US postage stamp, the cost of postage was usually paid by the recipient of a letter rather than the sender, and recipients were not always able or willing to pay promptly. ______ collecting this fee could be slow and arduous, and heaps of unpaid-for, undeliverable mail piled up in post offices. Which choice completes the text with the most logical transition?"
01de46bb,CRAFT,Words in Context,,,"The Menominee and Anishinaabe peoples have been growing wild riceÃ¢â‚¬â€known as manoomin in the Ojibwe languageÃ¢â‚¬â€in the Great Lakes region of North America for centuries, but climatic changes are causing lakes to get deeper, thereby threatening wild rice. These plants are extremely ______ to water depth during the Ã¢â‚¬Å“floating leafÃ¢â‚¬Â stage of development, and if the water is too deep, the buoyancy of the young wild-rice plants can literally uproot them from the lake bottom, destroying them. Which choice completes the text with the most logical and precise word or phrase?"
0205e563,EXPRESSIONS,Transitions,901D Medium,BB8 LOWER,"At two weeks old, the time their critical socialization period begins, wolves can smell but cannot yet see or hear. Domesticated dogs, ______ can see, hear, and smell by the end of two weeks. This relative lack of sensory input may help explain why wolves behave so differently around humans than dogs do: from a very young age, wolves are more wary and less exploratory. Which choice completes the text with the most logical transition?"
0240d11c,INFO_IDEAS,Command of Evidence,,BB8 UPPER,"In the twentieth century, ethnographers made a concerted effort to collect Mexican American folklore, but they did not always agree about that folkloreÃ¢â‚¬â„¢s origins. Scholars such as Aurelio Espinosa claimed that Mexican American folklore derived largely from the folklore of Spain, which ruled Mexico and what is now the southwestern United States from the sixteenth to early nineteenth centuries. Scholars such as AmÃƒÂ©rico Paredes, by contrast, argued that while some Spanish influence is undeniable, Mexican American folklore is mainly the product of the ongoing interactions of various cultures in Mexico and the United States. Which finding, if true, would most directly support ParedesÃ¢â‚¬â„¢s argument?"
02871a0d,ENGLISH_CONV,Boundaries,,,"In her large-scale sculpture Casa-Isla, artist Edra Soto included references to her childhood in Puerto Rico. For example, the sculptureÃ¢â‚¬â„¢s steel panels have a crisscrossing pattern inspired by the iron gates ______ Which choice completes the text so that it conforms to the conventions of Standard English?"
02e49a0c,CRAFT,Text Structure & Purpose,,,"Genetic studies have led researchers to suggest that turtles are most closely related to the group that includes modern crocodiles. But studies of fossils have suggested instead that turtles are most closely related to other groups, such as the one that contains modern snakes. However, many of the fossil studies have relied on incomplete data sets.Ã‚ For a 2022 investigation, biologist Tiago R. SimÃƒÂµes and colleagues examined more than 1,000 reptile fossils collected worldwide. From this large data set, they found clear agreement with the results of the genetic studies. Which choice best describes the function of the underlined sentence?"
02fd3da7,CRAFT,Cross-Text Connections,,,"Text 1 Public policy researcher Anthony Fowler studied the history of elections in Australia, a country that requires citizens to vote. Fowler argues that requiring citizens to vote leads to a significant increase in voters who would otherwise not have the time or motivation to vote. Thus, election results in countries that require citizens to vote better reflect the preferences of the country as a whole.Ã‚ Ã‚ Text 2 Governments in democratic countries function better when more people vote. However, forcing people to vote may have negative consequences. Shane P. Singh and Jason Roy studied what happens when a country requires its citizens to vote. They found that when people feel forced to vote, they tend to spend less time looking for information about their choices when voting. As a result, votes from these voters may not reflect their actual preferences. Based on the texts, how would Singh and Roy (Text 2) most likely respond to the research discussed in Text 1?"
03701ef3,INFO_IDEAS,Inferences,901D Upper,,"To better understand the burrowing habits of Alpheus bellulus (the tiger pistol shrimp), some studies have used resin casting to obtain precise measurements of the shrimpsÃ¢â‚¬â„¢ burrows. Resin casting involves completely filling an empty burrow with a liquid plastic that hardens to create a three-dimensional model; however, recovering the model inevitably requires destroying the burrow. In their 2022 study, Miyu Umehara and colleagues discovered that an x-ray computed tomography (CT) scanner can accurately record a burrowÃ¢â‚¬â„¢s measurements both at a moment in time and throughout the entire burrow-building process, something thatÃ¢â‚¬â„¢s impossible with resin casting because ______ Which choice most logically completes the text?"
03c9f327,CRAFT,Text Structure & Purpose,,,"The following text is from Charlotte BrontÃƒÂ«Ã¢â‚¬â„¢s 1847 novel Jane Eyre. Jane, the narrator, works as a governess at Thornfield Hall. I went on with my dayÃ¢â‚¬â„¢s business tranquilly; but ever and anon vague suggestions kept wandering across my brain of reasons why I should quit Thornfield; and I kept involuntarily framing advertisements and pondering conjectures about new situations: these thoughts I did not think to check; they might germinate and bear fruit if they could. Which choice best states the main purpose of the text?"
03e5cf33,INFO_IDEAS,Command of Evidence,,BB10 MEDIUM,"Many insects are iridescent, or have colors that appear to shimmer and change when seen from different angles. Scientists have assumed that this feature helps to attract mates but could also attract predators. But biologist Karin Kjernsmo and a team had the idea that the shifting appearance of colors might actually make it harder for other animals to see iridescent insects. To test this idea, the team put beetle forewings on leaves along a forest path and then asked human participants to look for them. Some of the wings were naturally iridescent. Others were painted with a nonchanging color from the iridescent spectrum, such as purple or blue. Which finding, if true, would most directly support the teamÃ¢â‚¬â„¢s idea?"
03f5a9b7,CRAFT,Words in Context,,,"When marine biologist Brittany Williams played different ocean recordings to groups of oyster larvae, groups that heard sounds of a healthy oyster reef were the most ______. They were twice as likely as other groups to show signs of making a permanent home. This suggests that playing recordings of a healthy ocean reef may encourage oysters to create such a reef. Which choice completes the text with the most logical and precise word or phrase?"
04397a63,EXPRESSIONS,Rhetorical Syntesis,903D Medium,,"While researching a topic, a student has taken the following notes: The Haudenosaunee Confederacy is a nearly 1,000-year-old alliance of six Native nations in the northeastern US. Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ Ã‚ The members are bound by a centuries-old agreement known as the Great Law of Peace. Historian Bruce Johansen is one of several scholars who believe that the principles of the Great Law of Peace influenced the US Constitution. This theory is called the influence theory. Johansen cites the fact that Benjamin Franklin and Thomas Jefferson both studied the Haudenosaunee Confederacy. The student wants to present the influence theory to an audience unfamiliar with the Haudenosaunee Confederacy. Which choice most effectively uses relevant information from the notes to accomplish this goal?"
04ad68ca,EXPRESSIONS,Transitions,,,"In Gothic architecture, flying buttresses are large arches that help support a buildingÃ¢â‚¬â„¢s exterior walls. Before the Gothic era, cathedralsÃ¢â‚¬â„¢ heavy ceilings had to be supported by thick, short walls, but the invention of flying buttresses eliminated this need. ______ Gothic cathedrals could be built with thinner, higher walls. Which choice completes the text with the most logical transition?"
04bcb7a9,INFO_IDEAS,Central Ideas,,,"Xin Wang and colleagues have discovered the earliest known example of a flower bud in a 164-million-year-old plant fossil in China. The researchers have named the new species Florigerminis jurassica. They believe that the discovery pushes the emergence of flowering plants, or angiosperms, back to the Jurassic period, which occurred between 145 million and 201 million years ago. According to the text, how old was the fossil that Wang and colleagues discovered?"
04bfd364,ENGLISH_CONV,Boundaries,,BB9 MEDIUM,"The intense pressure found in the deep ocean can affect the structure of proteins in fishÃ¢â‚¬â„¢s cells, distorting the proteinsÃ¢â‚¬â„¢ shape. The chemical trimethylamine N-oxide (TMAO) counters this effect, ensuring that proteins retain their original ______ is found in high concentrations in the cells of the deepest-dwelling fish. Which choice completes the text so that it conforms to the conventions of Standard English?"
04cbeca3,INFO_IDEAS,Command of Evidence,,,"In 1534 CE, King Henry VIII of England split with the Catholic Church and declared himself head of the Church of England, in part because Pope Clement VII refused to annul his marriage to Catherine of Aragon. Two years later, Henry VIII introduced a policy titled the Dissolution of the Monasteries that by 1540 had resulted in the closure of all Catholic monasteries in England and the confiscation of their estates. Some historians assert that the enactment of the policy was primarily motivated by perceived financial opportunities. Which quotation from a scholarly article best supports the assertion of the historians mentioned in the text?"
04dff083,INFO_IDEAS,Central Ideas,,,"In present-day Chiapas, Mexico, archaeologist Robert Rosenswig, remote-sensing specialist Ricardo LÃƒÂ³pez-Torrijos, and colleagues have located 41 smaller settlements surrounding the ancient Mesoamerican city of Izapa. The researchers have concluded that these settlements were culturally linked to Izapa because each of the settlements is the same age and configured in the same manner as Izapa, with a pyramid to the north and a plaza to the south. Their shared structural orientation suggests that residents of the settlements likely performed some of the same cultural ceremonies as residents in Izapa did. Which choice best states the main idea of the text?"
05575bca,CRAFT,Words in Context,,,"The following text is adapted from Lewis CarrollÃ¢â‚¬â„¢s 1871 novel Through the Looking-Glass, and What Alice Found There. Alice, a child, is talking to her cat. Ã¢â‚¬Å“Do you hear the snow against the window-panes, Kitty? How nice and soft it sounds! Just as if someone was kissing the window all over outside.Ã¢â‚¬Â As used in the text, what does the word Ã¢â‚¬Å“softÃ¢â‚¬Â most nearly mean?"
059f7201,CRAFT,Cross-Text Connections,,,"Text 1 Graphic novels are increasingly popular in bookstores and libraries, but they shouldnÃ¢â‚¬â„¢t be classified as literature. By definition, literature tells a story or conveys meaning through language only; graphic novels tell stories through illustrations and use language only sparingly, in captions and dialogue. Graphic novels are experienced as series of images and not as language, making them more similar to film than to literature. Ã‚ Text 2 Graphic novels present their stories through both language and images. Without captions and dialogue, readers would be unable to understand what is depicted in the illustrations: the story results from the interaction of text and image. Moreover, Alison BechdelÃ¢â‚¬â„¢s Fun Home and many other graphic novels feature text that is as beautifully written as the prose found in many standard novels. Therefore, graphic novels qualify as literary texts. Based on the texts, how would the author of Text 2 most likely respond to the overall argument presented in Text 1?"
066a3295,CRAFT,Text Structure & Purpose,,,"Researchers have found a nearly 164,000-year-old molar from a member of the archaic human species known as Denisovans in a cave in Laos, suggesting that Denisovans lived in a wider range of environments than indicated by earlier evidence. Before the discovery, Denisovans were thought to have lived only at high altitudes in relatively cold climates in what are now Russia and China, but the discovery of the tooth in Laos suggests that they may have lived at low altitudes in relatively warm climates in Southeast Asia as well. Which choice best states the function of the underlined portion in the text as a whole?"
06b96bfc,CRAFT,Words in Context,,,"A musician and member of the Quechua of Peru, Renata Flores Rivera was eager to promote the Quechua language in her music, but she was ______ speaking it. She met this challenge by asking her grandmother, a native speaker of Quechua, to help her pronounce words in her song lyrics and also by taking classes in the language. Which choice completes the text with the most logical and precise word or phrase?"
0770b53d,INFO_IDEAS,Command of Evidence,,BB8 LOWER,"O Pioneers! is a 1913 novel by Willa Cather. In the novel, Cather portrays Alexandra Bergson as having a deep emotional connection to her natural surroundings: ______ Which quotation from O Pioneers! most effectively illustrates the claim?"
0839a4b9,EXPRESSIONS,Transitions,,,"The Coastal Futures Conservatory in Virginia is known for creating aural representations of ecological data. One such effort combines underwater audio recorded in seagrass beds with data that track rising carbon levels in the seagrass. As carbon levels increase, the audio is correspondingly distorted; ______ listeners can Ã¢â‚¬Å“hearÃ¢â‚¬Â the changes in the carbon levels. Which choice completes the text with the most logical transition?"
083a35dc,ENGLISH_CONV,Boundaries,,,"PoÃ¢â‚¬â„¢Pay was a Tewa leader from Ohkay Owingeh, a pueblo located about twenty-five miles north of present-day Santa Fe, New Mexico. He was instrumental in organizing the Pueblo Revolt of ______ as a result of his leadership, the Spanish colonizers were expelled from the region for a time. Which choice completes the text so that it conforms to the conventions of Standard English?"
08b28c1a,INFO_IDEAS,Command of Evidence,,,"A researcher conducted an experiment inspired by studies suggesting that people may benefit from feeling frightened in certain circumstances, such as when watching scary movies or visiting haunted attractions. The researcher recruited several participants and had them walk through a local haunted house attraction. Immediately after exiting the attraction, each participant completed a survey about their experience. Based on the survey responses, the researcher claims that feeling frightened in controlled situations can boost a personÃ¢â‚¬â„¢s mood and confidence. Which quotation from a participant would best illustrate the researcherÃ¢â‚¬â„¢s claim?"
08be6347,EXPRESSIONS,Transitions,,BB10 MEDIUM,"In his 1925 book The Morphology of Landscape, US geographer Carl Sauer challenged prevailing views about how natural landscapes influence human cultures. ______ Sauer argued that instead of being shaped entirely by their natural surroundings, cultures play an active role in their own development by virtue of their interactions with the environment. Which choice completes the text with the most logical transition?"
08ff903e,INFO_IDEAS,Command of Evidence,902D Lower,,"A museum curator is writing a biographical statement about Trinidadian-born Chinese dancer, choreographer, and teacher Dai Ailian for a new exhibit on Chinese dance. The curator claims that some of the pieces Dai created shortly after arriving in mainland China in 1941, such as the solo danceÃ‚ Yao Drum, reflect a desire to represent the dances of local communities Dai visited during her travels through China. Which quotation from a work by a dance historian would be the most effective evidence for the curator to include in support of this claim?"
0960Dec02,ENGLISH_CONV,Boundaries,902D Lower,,"A recent study tracked the number of bee species present in twenty-seven New York apple orchards over a ten-year period. ______ found that when wild growth near an orchard was cleared, the number of different bee species visiting the orchard decreased.Ã‚ Which choice completes the text so that it conforms to the conventions of Standard English?"
09f9edb0,INFO_IDEAS,Command of Evidence,,,"In the 1980s, many musicians and journalists in the English-speaking world began to draw attention to music from around the globeÃ¢â‚¬â€such as mbaqanga from South Africa and quan hÃ¡Â»Â from VietnamÃ¢â‚¬â€that canÃ¢â‚¬â„¢t be easily categorized according to British or North American popular music genres, typically referring to such music as Ã¢â‚¬Å“world music.Ã¢â‚¬Â While some scholars have welcomed this development for bringing diverse musical forms to prominence in countries where theyÃ¢â‚¬â„¢d previously been overlooked, musicologist Su Zheng claims that the concept of world music homogenizes highly distinct traditions by reducing them all to a single category. Which finding about mbaqanga and quan hÃ¡Â»Â, if true, would most directly support ZhengÃ¢â‚¬â„¢s claim?"
0a04cac5,CRAFT,Text Structure & Purpose,,BB10 MEDIUM,"The following text is adapted from Jane AustenÃ¢â‚¬â„¢s 1814 novel Mansfield Park. The speaker, Tom, is considering staging a play at home with a group of his friends and family. We mean nothing but a little amusement among ourselves, just to vary the scene, and exercise our powers in something new. We want no audience, no publicity. We may be trusted, I think, in choosing some play most perfectly unexceptionable; and I can conceive no greater harm or danger to any of us in conversing in the elegant written language of some respectable author than in chattering in words of our own. Which choice best states the main purpose of the text?"
0a114526,ENGLISH_CONV,Boundaries,,,"In 1937, Chinese American screen actor Anna May Wong, who had portrayed numerous villains and secondary characters but never a heroine, finally got a starring role in Paramount PicturesÃ¢â‚¬â„¢ Daughter of Shanghai, a film that ______ Ã¢â‚¬Å“expanded the range of possibilities for Asian images on screen.Ã¢â‚¬Â Which choice completes the text so that it conforms to the conventions of Standard English?"
0acc26b2,EXPRESSIONS,Rhetorical Syntesis,,,"While researching a topic, a student has taken the following notes: Astronomers estimate that the number of comets orbiting the Sun is in the billions. 81P/Wild is one of many comets whose orbit has changed over time. 81P/WildÃ¢â‚¬â„¢s orbit once lay between the orbits of Uranus and Jupiter. The cometÃ¢â‚¬â„¢s orbit is now positioned between the orbits of Jupiter and Mars. The student wants to make and support a generalization about the orbits of comets. Which choice most effectively uses relevant information from the notes to accomplish these goals?"
0aebdf5f,ENGLISH_CONV,"Form, Structure, and Sense",,,"According to linguist Martin Joos, speakers of the English language ______ five main registersÃ¢â‚¬â€frozen, formal, consultative, casual, and intimateÃ¢â‚¬â€which they rotate between depending on the situation. Which choice completes the text so that it conforms to the conventions of Standard English?"
0b696a0c,INFO_IDEAS,Central Ideas,,,"NASAÃ¢â‚¬â„¢s Cassini probe has detected an unusual wobble in the rotation of Mimas, SaturnÃ¢â‚¬â„¢s smallest moon. Using a computer model to study MimasÃ¢â‚¬â„¢s gravitational interactions with Saturn and tidal forces, geophysicist Alyssa Rhoden and colleagues have proposed that this wobble could be due to a liquid ocean moving beneath the moonÃ¢â‚¬â„¢s icy surface. The researchers believe other moons should be examined to see if they too might have oceans hidden beneath their surfaces. Which choice best states the main idea of the text?"
0b96fa93,INFO_IDEAS,Command of Evidence,,BB8 LOWER,"Maximum Height of Maple Trees When Fully Grown Tree type Maximum height (feet) Native to North America Sugar maple 75 yes Silver maple 70 yes Red maple 60 yes Japanese maple 25 no Norway maple 50 no For a school project, a forestry student needs to recommend a maple tree that is native to North America and wonÃ¢â‚¬â„¢t grow more than 60 feet in height. Based on the characteristics of five common maple trees, she has decided to select a ______ Which choice most effectively uses data from the table to complete the text?"
0bcb4417,ENGLISH_CONV,"Form, Structure, and Sense",1000D Medium,,"Oglala Lakota poet Layli Long SoldierÃ¢â‚¬â„¢s star quilt poems offer an unusually open-ended reading experience. With ______ eight panels of text stitched together in the shape of a traditional eight-pointed Lakota star quilt, the poems present viewers with a seemingly infinite number of ways to read them. Which choice completes the text so that it conforms to the conventions of Standard English?"
0c13dea9,EXPRESSIONS,Transitions,901D Medium,,"The chemical trimethylamine N-oxide not only gives fish their fishy smell but also protects them from crushing hydrostatic pressure in deep waters. Trimethylamine N-oxide strengthens the bonds between water molecules in a fishÃ¢â‚¬â„¢s body. ______ these water molecules maintain their linked structure at extreme depths, thus preventing pressure-related damage. Which choice completes the text with the most logical transition?"
0c622cfb,INFO_IDEAS,Command of Evidence,,,"Although itÃ¢â‚¬â„¢s clear that Mars once had liquid water on its surface, astronomers have debated whether the evidence of ancient water reflects a prolonged phase of warm, wet conditionsÃ¢â‚¬â€the so-called wet and warm scenarioÃ¢â‚¬â€or a brief period of melting in an otherwise consistently frozen environment. Researchers Benjamin T. Cardenas and Michael P. Lamb recently added to this debate by using data from NASA and the Mars Orbiter Laser Altimeter to map the topography of what is now a large basin in MarsÃ¢â‚¬â„¢s northern hemisphere. Cardenas and Lamb concluded that the wet and warm scenario is likely correct.Ã‚ Ã‚ Which finding about the basin, if true, would most directly support Cardenas and LambÃ¢â‚¬â„¢s conclusion?"
0d088ae0,EXPRESSIONS,Transitions,,,"Observing that a fire in a closed container soon went out, leading eighteenth-century scientists did not conclude that fresh air (specifically, oxygen) is necessary for combustion; instead, many theorized that the containerÃ¢â‚¬â„¢s air had become saturated with a substance called phlogiston. ______ when Joseph Priestley first isolated oxygen gas in 1774, he termed it Ã¢â‚¬Å“dephlogisticated air.Ã¢â‚¬Â Which choice completes the text with the most logical transition?"
0d3ebdce,EXPRESSIONS,Transitions,,BB9 LOWER,Neuroscientist Karen Konkoly wanted to determine whether individuals can understand and respond to questions during REM sleep. She first taught volunteers eye movements they would use to respond to basic math problems while asleep (a single left-right eye movement indicated the number one). ______ she attached electrodes to the volunteersÃ¢â‚¬â„¢ faces to record their eye movements during sleep. Which choice completes the text with the most logical transition?
0d402146,CRAFT,Words in Context,902D Lower,,"US traffic signals didnÃ¢â‚¬â„¢t always contain the familiar three lights (red, yellow, and green). Traffic lights only ______ red and green lights until the three-light traffic signal was developed in the 1920s. Which choice completes the text with the most logical and precise word or phrase?"
0d81b7d9,INFO_IDEAS,Central Ideas,,,"Paleontologist Alan Tennyson and colleagues studied fossil bones found in New Zealand that are more than 55 million years old. The researchers determined that the fossil bones belonged to two previously unknown species of prehistoric penguins. Moreover, they estimated that one of the two penguin species was more than three times the size of the emperor penguin, which is the largest penguin species that exists today. Based on the text, which choice best describes the two previously unknown penguin species?"
0dba14e6,INFO_IDEAS,Inferences,,,"The increased integration of digital technologies throughout the process of book creation in the late 20th and early 21st centuries lowered the costs of book production, but those decreased costs have been most significant in the manufacturing and distribution process, which occurs after the authoring, editing, and design of the book are complete. This suggests that in the late 20th and early 21st centuries, ______ Which choice most logically completes the text?"
0dccbf17,INFO_IDEAS,Inferences,902D Upper,,"Henry Ossawa TannerÃ¢â‚¬â„¢s 1893 painting The Banjo Lesson, which depicts an elderly man teaching a boy to play the banjo, is regarded as a landmark in the history of works by Black artists in the United States. Scholars should be cautious when ascribing political or ideological values to the painting, however: beliefs and assumptions that are commonly held now may have been unfamiliar to Tanner and his contemporaries, and vice versa. Scholars who forget this fact when discussing The Banjo Lesson therefore ______ Which choice most logically completes the text?"
0e3b4967,INFO_IDEAS,Central Ideas,,,"Scrapbooks of saved fabric pieces were commonly kept by women in the nineteenth-century United States, but few are as meticulously detailed as Hannah Ditzler AlspaughÃ¢â‚¬â„¢s work. Alongside each piece of fabric, Alspaugh recorded intimate memories, such as dressmaking with her sister. Additionally, she listed the prices and how she used the fabric. Historians note that by representing fifty years of changing textures, patterns, and dress styles, the scrapbook is a record of nineteenth- century textiles and dressmaking as well as AlspaughÃ¢â‚¬â„¢s life. Which choice best states the main idea of the text?"
0ec15b5a,INFO_IDEAS,Command of Evidence,,,"Incorporated and Unincorporated Self-Employment Rates in Four Occupational Fields, 2015 Occupational field Incorporated self-employment rate Unincorporated self-employment rate Construction and resource extraction 4.4% 14.8% Installation, maintenance, and repair 2.7% 6.2% Management, business, and financial services 8.9% 9.7% Sales and related 5.8% 7.8% Self-employed workersÃ¢â‚¬â€individuals who are not employees of other individuals or businesses but instead earn their income as business owners, independent contractors, or freelance workersÃ¢â‚¬â€make up an important part of the US labor force. In order to receive legal and tax benefits enjoyed by corporations, self-employed individuals may choose to incorporate their business. A 2015 survey of incorporated and unincorporated self-employment rates in four occupational fields showed that the highest incorporated self-employment rate occurred among people working in ______ Which choice most effectively uses data from the table to complete the text?"
0ed8f24f,CRAFT,Words in Context,,BB5 MEDIUM,"K.D. Leka and colleagues found that the SunÃ¢â‚¬â„¢s corona provides an advance indication of solar flaresÃ¢â‚¬â€intense eruptions of electromagnetic radiation that emanate from active regions in the SunÃ¢â‚¬â„¢s photosphere and can interfere with telecommunications on Earth. Preceding a flare, the corona temporarily exhibits increased brightness above the region where the flare is ______. Which choice completes the text with the most logical and precise word or phrase?"
0ed94d4c,CRAFT,Text Structure & Purpose,901D Lower,,"Jackie OrmesÃ¢â‚¬â„¢s Torchy Brown in Dixie to Harlem (1937Ã¢â‚¬â€œ38) was the first comic strip by a Black woman to appear in a widely read newspaper. The strip tells the story of Torchy, a young woman who leaves Mississippi to become a performer in New York City. TorchyÃ¢â‚¬â„¢s story reflects the experience of the Great Migration (1910Ã¢â‚¬â€œ1970), when millions of Black Americans left the South in search of opportunities in other parts of the United States. Torchy Brown thus shows how Ormes used comics to comment humorously on issues affecting Black Americans, which she continued to do throughout her career. Which choice best states the main purpose of the text?"
